product_num,score
88731,0.03653001098171022
84775,0.03610176355344932
8487,0.03272782732265946
96157,0.029316070868224714
8512,0.027788925593320593
88715,0.027646968799618504
8588,0.027521695999115386
3781030,0.02740936898119232
8492,0.026880252979406546
8490,0.026561380500974594
5229522,0.025248647105773073
84666,0.024861321231566803
5107273,0.024767175758898478
5107299,0.023732964224745388
9210,0.02369029012749884
85355,0.02355950008669474
8493,0.02305462950460992
7592,0.022706114913681037
1360338,0.022598974729058717
8436,0.021912945730732748
101683,0.021652161732559395
101655,0.02148428042930556
8494,0.02138720123922997
8507,0.021231088022641655
442202,0.021116898317715953
277417,0.021052910023198715
8497,0.02042868930772211
9004,0.020229536991307612
84707,0.019463789608995946
5107276,0.01879174814800076
74266,0.017928919756905123
2267712,0.017344365186130993
5107301,0.01636789998014446
84759,0.01611629091251832
6441562,0.015996081301687323
9087,0.015936193607840644
101278,0.01567141059785851
101610,0.015603458691579713
761330,0.015560054605515383
97584,0.014744398457025732
1023718,0.014387548991594978
72602,0.013178240121120162
2617245,0.012243811104887864
85894,0.011717314044550906
72569,0.011303862271736116
93161,0.009942536398045055
761845,0.009204447629655216
84814,0.007856285028325576
84766,0.007441748499268938
